Plant Name,Time,Production (W)
Sándor Tibor,2023-05-13 05:15,2
Sándor Tibor,2023-05-13 05:30,47
Sándor Tibor,2023-05-13 05:45,120
Sándor Tibor,2023-05-13 06:00,234
Sándor Tibor,2023-05-13 06:15,287
Sándor Tibor,2023-05-13 06:30,596
Sándor Tibor,2023-05-13 06:45,856
Sándor Tibor,2023-05-13 07:00,903
Sándor Tibor,2023-05-13 07:15,1515
Sándor Tibor,2023-05-13 07:30,1982
Sándor Tibor,2023-05-13 07:45,1565
Sándor Tibor,2023-05-13 08:00,1324
Sándor Tibor,2023-05-13 08:15,978
Sándor Tibor,2023-05-13 08:30,991
Sándor Tibor,2023-05-13 08:45,1180
Sándor Tibor,2023-05-13 09:00,2611
Sándor Tibor,2023-05-13 09:15,2909
Sándor Tibor,2023-05-13 09:30,1497
Sándor Tibor,2023-05-13 09:45,1993
Sándor Tibor,2023-05-13 10:00,3327
Sándor Tibor,2023-05-13 10:15,4662
Sándor Tibor,2023-05-13 10:30,1899
Sándor Tibor,2023-05-13 10:45,1129
Sándor Tibor,2023-05-13 11:00,1516
Sándor Tibor,2023-05-13 11:15,2886
Sándor Tibor,2023-05-13 11:30,766
Sándor Tibor,2023-05-13 11:45,1804
Sándor Tibor,2023-05-13 12:00,3131
Sándor Tibor,2023-05-13 12:15,2352
Sándor Tibor,2023-05-13 12:30,2187
Sándor Tibor,2023-05-13 12:45,3198
Sándor Tibor,2023-05-13 13:00,2781
Sándor Tibor,2023-05-13 13:15,1810
Sándor Tibor,2023-05-13 13:30,1095
Sándor Tibor,2023-05-13 13:45,1137
Sándor Tibor,2023-05-13 14:00,1540
Sándor Tibor,2023-05-13 14:15,1944
Sándor Tibor,2023-05-13 14:30,1788
Sándor Tibor,2023-05-13 14:45,1761
Sándor Tibor,2023-05-13 15:00,1880
Sándor Tibor,2023-05-13 15:15,1204
Sándor Tibor,2023-05-13 15:30,907
Sándor Tibor,2023-05-13 15:45,1127
Sándor Tibor,2023-05-13 16:00,1173
Sándor Tibor,2023-05-13 16:15,1322
Sándor Tibor,2023-05-13 16:30,672
Sándor Tibor,2023-05-13 16:45,457
Sándor Tibor,2023-05-13 17:00,383
Sándor Tibor,2023-05-13 17:15,551
Sándor Tibor,2023-05-13 17:30,663
Sándor Tibor,2023-05-13 17:45,423
Sándor Tibor,2023-05-13 18:00,455
Sándor Tibor,2023-05-13 18:15,487
Sándor Tibor,2023-05-13 18:30,320
Sándor Tibor,2023-05-13 18:45,340
Sándor Tibor,2023-05-13 19:00,460
Sándor Tibor,2023-05-13 19:15,380
Sándor Tibor,2023-05-13 19:30,332
Sándor Tibor,2023-05-13 19:45,161
Sándor Tibor,2023-05-13 20:00,70
Sándor Tibor,2023-05-13 20:15,38
Sándor Tibor,2023-05-13 20:30,2
Sándor Tibor,2023-05-13 20:45,0
