Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-03-07,106161002251,1,0
Sándor Tibor,2023-03-07,106161002251,2,0
Sándor Tibor,2023-03-07,106161002251,3,0
Sándor Tibor,2023-03-07,106161002251,4,0
Sándor Tibor,2023-03-07,116173704164,1,0.795
Sándor Tibor,2023-03-07,116173704164,2,0.785
Sándor Tibor,2023-03-07,116173704164,3,0.802
Sándor Tibor,2023-03-07,116173704164,4,0.788
Sándor Tibor,2023-03-07,116173704719,1,0
Sándor Tibor,2023-03-07,116173704719,2,0
Sándor Tibor,2023-03-07,116173704719,3,0
Sándor Tibor,2023-03-07,116173704719,4,0
Sándor Tibor,2023-03-07,116173709780,1,0.787
Sándor Tibor,2023-03-07,116173709780,2,0.792
Sándor Tibor,2023-03-07,116173709780,3,0.79
Sándor Tibor,2023-03-07,116173709780,4,0.786
Sándor Tibor,2023-03-07,116180214317,1,0.794
Sándor Tibor,2023-03-07,116180214317,2,0.784
Sándor Tibor,2023-03-07,116180214317,3,0.79
Sándor Tibor,2023-03-07,116180214317,4,0.806
Sándor Tibor,2023-03-07,116180215010,1,0.721
Sándor Tibor,2023-03-07,116180215010,2,0.719
Sándor Tibor,2023-03-07,116180215010,3,0.718
Sándor Tibor,2023-03-07,116180215010,4,0.735
Sándor Tibor,2023-03-07,116180217869,1,0.741
Sándor Tibor,2023-03-07,116180217869,2,0.803
Sándor Tibor,2023-03-07,116180217869,3,0.747
Sándor Tibor,2023-03-07,116180217869,4,0.7
Sándor Tibor,2023-03-07,116180218205,1,0.734
Sándor Tibor,2023-03-07,116180218205,2,0.772
Sándor Tibor,2023-03-07,116180218205,3,0.75
Sándor Tibor,2023-03-07,116180218205,4,0.748
